"rid", "binaryID"
0,1
1,10
869,11
2,100
864,110
3,1000
865,1100
4,10000
866,11000
867,11001
5,100000
868,110000
6,1000000
886,1000001
7,10000000
738,10000001
384,10000010
8,100000000
737,100000001
390,100000010
383,100000100
732,100000101
9,1000000000
744,1000000001
386,1000000010
393,1000000100
739,1000000101
733,1000001010
735,1000001011
10,10000000000
392,10000000010
394,10000001000
400,10000001001
740,10000001010
11,100000000000
346,100000000001
883,100000010010
12,1000000000000
410,1000000000001
347,1000000000010
406,1000000000011
405,1000000100100
13,10000000000000
348,10000000000100
753,10000000000101
14,100000000000000
760,100000000000001
349,100000000001000
412,100000000001001
754,100000000001010
757,100000000001011
15,1000000000000000
763,1000000000000001
415,1000000000000010
350,1000000000010000
414,1000000000010001
411,1000000000010010
413,1000000000010011
755,1000000000010100
756,1000000000010101
16,10000000000000000
767,10000000000000001
419,10000000000000010
407,10000000000000100
408,10000000000000101
351,10000000000100000
421,10000000000100001
752,10000000000100010
746,10000000000100100
743,10000000000100110
17,100000000000000000
770,100000000000000001
435,100000000000000010
762,100000000000000100
748,100000000000001000
749,100000000000001010
352,100000000001000000
409,100000000001000001
420,100000000001000010
764,100000000001000011
750,100000000001000100
751,100000000001000101
395,100000000001001000
18,1000000000000000000
357,1000000000000000001
450,1000000000000000010
432,1000000000000000100
353,1000000000010000000
399,1000000000010000001
734,1000000000010000010
417,1000000000010000100
418,1000000000010000101
403,1000000000010001000
404,1000000000010001010
745,1000000000010010000
19,10000000000000000000
358,10000000000000000010
452,10000000000000000100
472,10000000000000000101
354,10000000000100000000
758,10000000000100001000
761,10000000000100001010
401,10000000000100010000
402,10000000000100010001
747,10000000000100010100
391,10000000000100100000
20,100000000000000000000
359,100000000000000000100
462,100000000000000000101
455,100000000000000001000
780,100000000000000001010
355,100000000001000000000
416,100000000001000010100
741,100000000001000100000
397,100000000001000100010
398,100000000001000100011
396,100000000001000101000
742,100000000001001000000
21,1000000000000000000000
360,1000000000000000001000
861,1000000000000000001001
771,1000000000000000001010
773,1000000000000000010000
473,1000000000000000010100
356,1000000000010000000000
759,1000000000010000101000
389,1000000000010001000000
387,1000000000010001000110
388,1000000000010001000111
22,10000000000000000000000
361,10000000000000000010000
736,10000000000100010001100
731,10000000000100010001110
23,100000000000000000000000
362,100000000000000000100000
439,100000000000000000100001
385,100000000001000100011000
24,1000000000000000000000000
363,1000000000000000001000000
433,1000000000000000001000001
768,1000000000000000001000010
25,10000000000000000000000000
364,10000000000000000010000000
434,10000000000000000010000001
765,10000000000000000010000010
436,10000000000000000010000100
26,100000000000000000000000000
774,100000000000000000000000001
438,100000000000000000100000000
440,100000000000000000100000001
766,100000000000000000100000010
27,1000000000000000000000000000
289,1000000000000000000000000001
465,1000000000000000000000000010
769,1000000000000000001000000000
28,10000000000000000000000000000
784,10000000000000000000000000001
290,10000000000000000000000000010
887,10000000000000000000000000100
29,100000000000000000000000000000
270,100000000000000000000000000001
485,100000000000000000000000000010
291,100000000000000000000000000100
481,100000000000000000000000000101
775,100000000000000000000000001000
777,100000000000000000000000001001
30,1000000000000000000000000000000
376,1000000000000000000000000000001
271,1000000000000000000000000000010
788,1000000000000000000000000000100
292,1000000000000000000000000001000
783,1000000000000000000000000001010
466,1000000000000000000000000010000
31,10000000000000000000000000000000
377,10000000000000000000000000000010
272,10000000000000000000000000000100
502,10000000000000000000000000000101
487,10000000000000000000000000001000
293,10000000000000000000000000010000
486,10000000000000000000000000010100
778,10000000000000000000000000100000
32,100000000000000000000000000000000
378,100000000000000000000000000000100
513,100000000000000000000000000000101
273,100000000000000000000000000001000
504,100000000000000000000000000001001
871,100000000000000000000000000001010
294,100000000000000000000000000100000
787,100000000000000000000000000101000
33,1000000000000000000000000000000000
48,1000000000000000000000000000000001
379,1000000000000000000000000000001000
515,1000000000000000000000000000001001
523,1000000000000000000000000000001010
531,1000000000000000000000000000001011
274,1000000000000000000000000000010000
507,1000000000000000000000000000010100
295,1000000000000000000000000001000000
34,10000000000000000000000000000000000
49,10000000000000000000000000000000010
876,10000000000000000000000000000000011
380,10000000000000000000000000000010000
488,10000000000000000000000000000010001
275,10000000000000000000000000000100000
875,10000000000000000000000000000101000
296,10000000000000000000000000010000000
35,100000000000000000000000000000000000
570,100000000000000000000000000000000001
50,100000000000000000000000000000000100
519,100000000000000000000000000000000110
381,100000000000000000000000000000100000
276,100000000000000000000000000001000000
283,100000000000000000000000000001000001
297,100000000000000000000000000100000000
36,1000000000000000000000000000000000000
587,1000000000000000000000000000000000001
819,1000000000000000000000000000000000010
51,1000000000000000000000000000000001000
382,1000000000000000000000000000001000000
277,1000000000000000000000000000010000000
284,1000000000000000000000000000010000010
298,1000000000000000000000000001000000000
478,1000000000000000000000000001000000001
37,10000000000000000000000000000000000000
598,10000000000000000000000000000000000001
52,10000000000000000000000000000000010000
877,10000000000000000000000000000000010001
278,10000000000000000000000000000100000000
782,10000000000000000000000000000100000001
285,10000000000000000000000000000100000100
299,10000000000000000000000000010000000000
781,10000000000000000000000000010000000010
38,100000000000000000000000000000000000000
610,100000000000000000000000000000000000001
53,100000000000000000000000000000000100000
252,100000000000000000000000000000000100001
529,100000000000000000000000000000000100010
279,100000000000000000000000000001000000000
484,100000000000000000000000000001000000010
286,100000000000000000000000000001000001000
300,100000000000000000000000000100000000000
39,1000000000000000000000000000000000000000
597,1000000000000000000000000000000000000001
54,1000000000000000000000000000000001000000
253,1000000000000000000000000000000001000010
280,1000000000000000000000000000010000000000
789,1000000000000000000000000000010000000100
287,1000000000000000000000000000010000010000
301,1000000000000000000000000001000000000000
40,10000000000000000000000000000000000000000
615,10000000000000000000000000000000000000001
863,10000000000000000000000000000000000000010
55,10000000000000000000000000000000010000000
254,10000000000000000000000000000000010000100
530,10000000000000000000000000000000010000101
281,10000000000000000000000000000100000000000
288,10000000000000000000000000000100000100000
468,10000000000000000000000000000100000100001
302,10000000000000000000000000010000000000000
41,100000000000000000000000000000000000000000
628,100000000000000000000000000000000000000001
830,100000000000000000000000000000000000000100
56,100000000000000000000000000000000100000000
365,100000000000000000000000000000000100000001
255,100000000000000000000000000000000100001000
522,100000000000000000000000000000000100001001
282,100000000000000000000000000001000000000000
776,100000000000000000000000000001000001000010
303,100000000000000000000000000100000000000000
457,100000000000000000000000000100000000000001
42,1000000000000000000000000000000000000000000
632,1000000000000000000000000000000000000000001
634,1000000000000000000000000000000000000000010
646,1000000000000000000000000000000000000000011
862,1000000000000000000000000000000000000001000
57,1000000000000000000000000000000001000000000
366,1000000000000000000000000000000001000000010
256,1000000000000000000000000000000001000010000
491,1000000000000000000000000000000001000010001
797,1000000000000000000000000000000001000010010
304,1000000000000000000000000001000000000000000
331,1000000000000000000000000001000000000000001
43,10000000000000000000000000000000000000000000
647,10000000000000000000000000000000000000000001
631,10000000000000000000000000000000000000000010
637,10000000000000000000000000000000000000000011
651,10000000000000000000000000000000000000000100
653,10000000000000000000000000000000000000000101
596,10000000000000000000000000000000000000010000
58,10000000000000000000000000000000010000000000
567,10000000000000000000000000000000010000000001
367,10000000000000000000000000000000010000000100
558,10000000000000000000000000000000010000000101
257,10000000000000000000000000000000010000100000
267,10000000000000000000000000000000010000100001
872,10000000000000000000000000000000010000100010
510,10000000000000000000000000000000010000100100
305,10000000000000000000000000010000000000000000
314,10000000000000000000000000010000000000000001
332,10000000000000000000000000010000000000000010
44,100000000000000000000000000000000000000000000
667,100000000000000000000000000000000000000000001
635,100000000000000000000000000000000000000000110
639,100000000000000000000000000000000000000000111
658,100000000000000000000000000000000000000001000
661,100000000000000000000000000000000000000001010
829,100000000000000000000000000000000000000100000
59,100000000000000000000000000000000100000000000
815,100000000000000000000000000000000100000000010
368,100000000000000000000000000000000100000001000
573,100000000000000000000000000000000100000001001
557,100000000000000000000000000000000100000001010
258,100000000000000000000000000000000100001000000
268,100000000000000000000000000000000100001000010
474,100000000000000000000000000000000100001000011
796,100000000000000000000000000000000100001001000
306,100000000000000000000000000100000000000000000
460,100000000000000000000000000100000000000000001
315,100000000000000000000000000100000000000000010
370,100000000000000000000000000100000000000000011
333,100000000000000000000000000100000000000000100
45,1000000000000000000000000000000000000000000000
664,1000000000000000000000000000000000000000000001
60,1000000000000000000000000000000001000000000000
566,1000000000000000000000000000000001000000000100
369,1000000000000000000000000000000001000000010000
574,1000000000000000000000000000000001000000010010
594,1000000000000000000000000000000001000000010011
259,1000000000000000000000000000000001000010000000
269,1000000000000000000000000000000001000010000100
471,1000000000000000000000000000000001000010000101
508,1000000000000000000000000000000001000010010000
307,1000000000000000000000000001000000000000000000
458,1000000000000000000000000001000000000000000001
459,1000000000000000000000000001000000000000000010
461,1000000000000000000000000001000000000000000011
316,1000000000000000000000000001000000000000000100
371,1000000000000000000000000001000000000000000110
334,1000000000000000000000000001000000000000001000
46,10000000000000000000000000000000000000000000000
676,10000000000000000000000000000000000000000000001
61,10000000000000000000000000000000010000000000000
96,10000000000000000000000000000000010000000000001
260,10000000000000000000000000000000010000100000000
795,10000000000000000000000000000000010000100100000
308,10000000000000000000000000010000000000000000000
453,10000000000000000000000000010000000000000000010
454,10000000000000000000000000010000000000000000011
870,10000000000000000000000000010000000000000000110
317,10000000000000000000000000010000000000000001000
443,10000000000000000000000000010000000000000001001
372,10000000000000000000000000010000000000000001100
428,10000000000000000000000000010000000000000001101
335,10000000000000000000000000010000000000000010000
47,100000000000000000000000000000000000000000000000
682,100000000000000000000000000000000000000000000001
62,100000000000000000000000000000000100000000000000
620,100000000000000000000000000000000100000000000001
97,100000000000000000000000000000000100000000000010
261,100000000000000000000000000000000100001000000000
503,100000000000000000000000000000000100001001000000
309,100000000000000000000000000100000000000000000000
456,100000000000000000000000000100000000000000000100
451,100000000000000000000000000100000000000000000110
463,100000000000000000000000000100000000000000001100
318,100000000000000000000000000100000000000000010000
441,100000000000000000000000000100000000000000010001
373,100000000000000000000000000100000000000000011000
336,100000000000000000000000000100000000000000100000
63,1000000000000000000000000000000001000000000000000
657,1000000000000000000000000000000001000000000000001
621,1000000000000000000000000000000001000000000000010
624,1000000000000000000000000000000001000000000000011
98,1000000000000000000000000000000001000000000000100
262,1000000000000000000000000000000001000010000000000
793,1000000000000000000000000000000001000010010000000
310,1000000000000000000000000001000000000000000000000
448,1000000000000000000000000001000000000000000001000
449,1000000000000000000000000001000000000000000001001
884,1000000000000000000000000001000000000000000001100
319,1000000000000000000000000001000000000000000100000
431,1000000000000000000000000001000000000000000100001
374,1000000000000000000000000001000000000000000110000
337,1000000000000000000000000001000000000000001000000
